Date,Open,High,Low,Close,Adj Close,Volume
2019-11-29,160.460007,160.550003,159.919998,160.020004,148.438583,1171000
2019-12-02,160.259995,160.360001,158.449997,158.570007,147.093506,3766700
2019-12-03,157.089996,157.710007,156.380005,157.630005,146.221542,4040300
2019-12-04,158.289993,158.960007,158.100006,158.649994,147.167709,2132100
2019-12-05,159.000000,159.000000,158.179993,158.880005,147.381073,1858100
2019-12-06,159.979996,160.539993,159.889999,160.289993,148.689026,2021000
2019-12-09,160.089996,160.429993,159.750000,159.779999,148.215942,1934300
2019-12-10,159.770004,160.100006,159.289993,159.639999,148.086044,2150800
2019-12-11,159.889999,160.139999,159.570007,160.020004,148.438583,1781300
2019-12-12,160.020004,161.779999,159.839996,161.330002,149.653732,3012200
2019-12-13,161.250000,162.089996,160.669998,161.330002,149.653732,3023500
2019-12-16,162.360001,162.880005,162.220001,162.509995,150.748352,2466000
2019-12-17,162.770004,162.860001,162.440002,162.570007,150.804001,4421500
2019-12-18,162.830002,162.919998,162.259995,162.639999,150.868942,2139800
2019-12-19,162.740005,163.350006,162.699997,163.350006,151.527557,3018600
2019-12-20,164.000000,164.339996,163.860001,164.190002,152.306778,3142900
2019-12-23,164.559998,164.589996,164.199997,164.289993,152.399506,3822900
2019-12-24,163.679993,163.720001,163.250000,163.440002,152.433105,1624900
2019-12-26,163.699997,164.229996,163.630005,164.229996,153.169846,2515000
2019-12-27,164.610001,164.679993,163.800003,164.080002,153.029968,2356700
2019-12-30,164.300003,164.380005,162.910004,163.190002,152.199936,4503500
2019-12-31,163.000000,163.759995,162.720001,163.619995,152.600952,3262400
2020-01-02,164.679993,164.979996,163.779999,164.979996,153.869370,3291100
2020-01-03,163.289993,164.470001,163.009995,163.929993,152.890091,3625400
2020-01-06,162.919998,164.520004,162.830002,164.490005,153.412384,6813800
2020-01-07,164.270004,164.460007,163.779999,164.100006,153.048630,2498400
2020-01-08,164.199997,165.550003,164.039993,164.910004,153.804108,4244800
2020-01-09,165.809998,165.979996,165.360001,165.940002,154.764694,2216900
2020-01-10,166.259995,166.300003,165.199997,165.460007,154.317062,4023000
2020-01-13,166.000000,166.630005,165.520004,166.589996,155.370911,3997100
2020-01-14,166.550003,167.119995,166.169998,166.500000,155.287048,3062000
2020-01-15,166.500000,167.399994,166.419998,166.910004,155.669403,2479200
2020-01-16,167.710007,168.369995,167.610001,168.339996,157.003113,2205600
2020-01-17,169.009995,169.009995,168.369995,168.759995,157.394821,2272000
2020-01-21,168.399994,168.850006,168.169998,168.399994,157.059052,3174200
2020-01-22,168.929993,169.320007,168.350006,168.500000,157.152344,2113600
2020-01-23,168.110001,168.770004,167.389999,168.690002,157.329575,2370000
2020-01-24,169.089996,169.089996,166.330002,167.089996,155.837265,3292500
2020-01-27,164.229996,165.320007,163.839996,164.580002,153.496307,4692800
2020-01-28,165.330002,166.669998,165.059998,166.169998,154.979218,4010700
2020-01-29,166.960007,166.990005,165.919998,166.059998,154.876633,1751700
2020-01-30,165.000000,166.610001,164.470001,166.460007,155.249725,2835900
2020-01-31,166.160004,166.210007,163.039993,163.520004,152.507706,4525300
2020-02-03,164.350006,165.830002,164.309998,164.960007,153.850693,2783200
2020-02-04,166.970001,168.020004,166.809998,167.559998,156.275650,2732700
2020-02-05,169.130005,169.350006,168.169998,169.210007,157.814514,4133700
2020-02-06,169.759995,169.830002,169.190002,169.679993,158.252853,2202300
2020-02-07,169.050003,169.399994,168.410004,168.710007,157.348206,2579200
2020-02-10,168.279999,169.949997,168.259995,169.949997,158.504639,2494100
2020-02-11,170.740005,171.250000,170.110001,170.419998,158.942978,2921700
2020-02-12,171.240005,171.550003,170.910004,171.490005,159.940979,2154100
2020-02-13,170.699997,171.929993,170.550003,171.419998,159.875687,2827500
2020-02-14,171.600006,171.770004,170.979996,171.699997,160.136810,2527800
2020-02-18,171.270004,171.539993,170.529999,171.300003,159.763763,2459400
2020-02-19,171.919998,172.559998,171.770004,172.169998,160.575165,2488100
2020-02-20,171.960007,172.429993,169.899994,171.649994,160.090179,7061600
2020-02-21,170.949997,171.029999,169.399994,169.889999,158.448700,2983500
2020-02-24,164.500000,165.869995,163.589996,164.300003,153.235199,8710900
2020-02-25,165.039993,165.389999,158.770004,159.279999,148.553253,10112300
2020-02-26,160.009995,161.809998,158.000000,158.399994,147.732513,8210300
2020-02-27,155.039993,157.529999,151.399994,151.460007,141.259872,14384200
2020-02-28,146.419998,150.589996,145.300003,150.440002,140.308594,22272400
2020-03-02,151.410004,156.820007,149.580002,156.669998,146.119003,12071600
2020-03-03,157.339996,159.300003,151.080002,152.630005,142.351074,8623100
2020-03-04,155.520004,158.750000,154.050003,158.729996,148.040283,5226600
2020-03-05,154.809998,156.360001,152.110001,153.440002,143.106537,5343100
2020-03-06,148.979996,151.339996,147.119995,150.589996,140.448471,9947700
2020-03-09,140.000000,143.630005,138.240005,138.500000,129.172699,18537100
2020-03-10,144.350006,145.410004,137.899994,145.369995,135.580017,11693300
2020-03-11,141.449997,142.199997,136.300003,138.009995,128.715652,10760200
2020-03-12,129.179993,133.669998,124.410004,124.589996,116.199432,20969500
2020-03-13,132.000000,135.929993,125.000000,135.929993,126.775742,15351600
2020-03-16,121.059998,127.989998,120.000000,120.459999,112.347595,14652900
